nome;precoNormal;precoPromo;desc;categoria;img
VINHO TINTO SOLAIA RESERVA 1990;8000;6750;Solaia é um vinho mítico, um dos mais famosos de toda a sorte de vinhos produzidos pela centenária família Antinori. Sua primeira safra foi 1978, um blend de Cabernet Sauvignon e Cabernet Franc. Desde os anos 80 foi incorporado ao corte 20% de Sangiovese. Um vinho potente e elegante, repleto de história para contar. Vermelho-rubi profundo com reflexos púrpura. O nariz é intenso e marcante, com notas que vão desde frutas vermelhas maduras a especiarias, com toques de baunilha e tostado, que compõem um buquê de grande persistência e elegância. Solaia é um vinho mítico, um dos mais famosos de toda a sorte de vinhos produzidos pela centenária família Antinori. Sua primeira safra foi 1978, um blend de Cabernet Sauvignon e Cabernet Franc. Desde os anos 80 foi incorporado ao corte 20% de Sangiovese. Um vinho potente e elegante, repleto de história para contar. Vermelho-rubi profundo com reflexos púrpura. O nariz é intenso e marcante, com notas que vão desde frutas vermelhas maduras a especiarias, com toques de baunilha e tostado, que compõem um buquê de grande persistência e elegância.;tinto;https://fibo.promokit.com.br/images/empresa/9806b080-46a8-11ef-83cd-9ddcb18aa255.png
VINHO BRANCO CHABLIS LOUIS LATOUR;309.9;299.9;Chablis é uma “ilha” de vinhedos isolada na porção mais ao norte da Borgonha, entre Dijon e Paris. O Chablis da Maison Louis Latour é um grande exemplo do que a nobre uva Chardonnay é capaz de produzir nas famosas colinas de solo calcário (Portlandian e Kimmeridgian) da região.;branco;https://fibo.promokit.com.br/images/empresa/aa6f3de0-389e-11ef-a003-5f52b35ebe01.png
VINHO TT MARQUIS DE CHASSE BORDEAUS;69.9;39.9;Maison Ginestet é uma empresa especializada em vinhos finos de Bordeaux, na França, com uma rica história que remonta a 1897, sempre fazendo parte do prestigioso mundo dos Grands Crus de Bordeaux. Marquis de Chasse é um vinho que conta uma história! No século XVIII, a caça com cães era um modo de vida reservado à nobreza, e algo que Marquis de Chasse era apaixonado. Costumava convidar seus amigos para sua casa em Bordeaux para realizar a caça, e, no final do dia, a carne da caça era servida em um generoso banquete regado com vinhos finos de Bordeaux. Este exemplar conta essa história e te convida a abrir essa garrafa em um momento prazeroso de harmonização com amigos e família! A região A.O.P. Bordeaux ostenta uma diversidade de terroirs que dão ao vinho Marquis de Chasse sua riqueza e caráter único, fazendo dele um clássico vinho de Bordeaux, expressando seu terroir em um exemplar elegante e equilibrado. A safra 2020 ganhou três medalhas de ouro nas seguintes competições em 2022: Concours des Grands Vin de France Macon, Concours International de Lyon e Challenge International du Vin.;tinto;https://fibo.promokit.com.br/images/empresa/2dfc8370-cd3c-11ef-99d4-57f7591b9efc.png
VINHO FRISANTE CRAZY BULLES ROSE;69.9;39.9;Cor rosa pálido com reflexos salmão. o nariz é fresco e aromático, com notas de frutas cítricas e tropicais. Delicioso e indulgentemente frutado no paladar com sugestões de especiarias e mineralidade. Notas cítricas picantes e acidez suculenta convergem para um final suave.;rose;https://fibo.promokit.com.br/images/empresa/1bd915c0-cf5b-11ef-8bdd-dbe9b1a953d0.png
VINHO FRISANTE BCO CRAZY TROPEZ VIN DE FRANCE;69.9;39.9;é expressivo e aromático no nariz com notas de frutos exóticos e ligeiros toques florais Paladar: Maravilhosamente frutado no paladar, Crazy Tropez Branco encanta com um final fresco e duradouro. Harmonização: Peixe gordo, marisco, peixe magro, cogumelos e queijo de cabra Conteúdo: 750ml;branco;https://fibo.promokit.com.br/images/empresa/74d917a0-cf5c-11ef-9f2f-b37cf283b3bf.png
VINHO TT ALBERT BICHOT MERCUREY;269.9;199.9;"O nome de Mercurey refere-se a um antigo templo construído pelos romanos para homenagear o deus Mercúrio. Com sua área de superfície de 1.600 acres, 85 denominações de ""vila"" e 32 Premier Crus, Mercurey é a maior denominação da Côte Chalonnaise. As vinhas crescem em altitudes entre 230 e 320 metros em encostas protegidas dos ventos carregados de umidade. Degustação O nariz lembra frutas vermelhas e pretas (cereja, framboesa...) junto com notas mais selvagens. Na boca, este vinho delicioso possui uma estrutura fina. O final é longo e harmonioso. Harmonização de comida / vinho Prove este vinho com carnes vermelhas grelhadas, assadas ou estufadas, ou com queijos médios.";tinto;https://fibo.promokit.com.br/images/empresa/58adeeb0-fe74-11ef-b245-812de7fd1f04.png
VINHO TT CHATEAU LAFITE ROTHSCHILD 1865;11500;10350;Um dos vinhos mais famosos do mundo, Lafite é um dos mais longevos e elegantes vinhos de Bordeaux. Notas de tabaco e chocolate amargo se mesclam a frutas vermelhas e cassis, além de toques de pimenta-preta e notas de grafite. Harmonize com Carnes vermelhas grelhadas e assadas, churrasco, cordeiro, pratos com cogumelos, massas com ragu de carne, embutidos e queijos duros;tinto;https://fibo.promokit.com.br/images/empresa/fe365c30-03fd-11f0-ad55-37e82d8535de.png
VINHO TT BONNES MARES GRAND CRU D G ROUMIER 1997;12000;10925;Nossos especialistas em vinhos acham que este vinho Burgundy Côte de Nuits tinto harmonizaria maravilhosamente com estes pratos. Bon appétit!;tinto;https://fibo.promokit.com.br/images/empresa/0fb9ab30-0401-11f0-90df-e3bb7596f3c6.png
VINHO TINTO SOLAIA RESERVA 1988;8000;6999.9;Solaia é um vinho mítico, um dos mais famosos de toda a sorte de vinhos produzidos pela centenária família Antinori. Sua primeira safra foi 1978, um blend de Cabernet Sauvignon e Cabernet Franc. Desde os anos 80 foi incorporado ao corte 20% de Sangiovese. Um vinho potente e elegante, repleto de história para contar. Vermelho-rubi profundo com reflexos púrpura. O nariz é intenso e marcante, com notas que vão desde frutas vermelhas maduras a especiarias, com toques de baunilha e tostado, que compõem um buquê de grande persistência e elegância. Solaia é um vinho mítico, um dos mais famosos de toda a sorte de vinhos produzidos pela centenária família Antinori. Sua primeira safra foi 1978, um blend de Cabernet Sauvignon e Cabernet Franc. Desde os anos 80 foi incorporado ao corte 20% de Sangiovese. Um vinho potente e elegante, repleto de história para contar. Vermelho-rubi profundo com reflexos púrpura. O nariz é intenso e marcante, com notas que vão desde frutas vermelhas maduras a especiarias, com toques de baunilha e tostado, que compõem um buquê de grande persistência e elegância.;tinto;https://fibo.promokit.com.br/images/empresa/9806b080-46a8-11ef-83cd-9ddcb18aa255.png
VINHO TT ORNELLAIA 1997;5500;4485;Ornellaia é uma mistura de natureza e reflexão. Solos antigos complexos conversam por meio da sabedoria humana com um microclima delicado que ecoa e se reflete no Mar Mediterrâneo. O envelhecimento prolongado acompanha o vinho fino da propriedade para atingir sua expressão máxima, revelando finesse e generosidade ao longo do tempo.;tinto;https://fibo.promokit.com.br/images/empresa/3c38efb0-0404-11f0-88ea-bbb13f8515ff.png
VINHO TT ECHEZEAUX GRAND CRU D MUGNERET GIBOURG 2004;7300;6959.9;Nossos especialistas em vinhos acham que este vinho Burgundy Côte de Nuits tinto harmonizaria maravilhosamente com estes pratos. Bon appétit;tinto;https://fibo.promokit.com.br/images/empresa/1f714570-0405-11f0-84df-3b9e1c37419b.png
VINHO TT BONNES MARES GRAND CRU ROBERT GORFIIER 2001;7000;5750;O vinho tem textura fina, sabor encorpado, sedoso e redondo, repleto de notas frutadas, notas de rosa mosqueta, especiarias, cerejas, ameixa amarela, maravilhosa expectativa de retrogosto com nuances de café e carvalho.;tinto;https://fibo.promokit.com.br/images/empresa/d10c3b40-0406-11f0-94f6-030fbec674b3.png
VINHO TT CHAMBOLLE MUSIGNY 1ª ER JACQUES FRÉDÉRIC MUGNIER 1996;25000;23500;Nossos especialistas em vinhos acham que este vinho Burgundy Côte de Nuits tinto harmonizaria maravilhosamente com estes pratos. Bon appétit!;tinto;https://fibo.promokit.com.br/images/empresa/032bb190-0408-11f0-90df-e3bb7596f3c6.png
VINHO CLOS DE LA ROCHE GRAND CRU HUBERT LIGNIER 2001;9000;8400;Os vinhos são sempre bem coloridos, aromáticos, densos e complexos devido a vários compostos minerais. Os vinhos são poderosos devido à sua intensidade no paladar, mas seus taninos são concentrados, finos e sedosos.;tinto;https://fibo.promokit.com.br/images/empresa/7ffd46c0-0408-11f0-84df-3b9e1c37419b.png
VINHO TT MONTRACHET GRAND CRU DOMAINE RAMONET 1988;39500;36800;Este ainda é muito fechado e jovem. Energia e poder maravilhosos. Nariz muito, muito concentrado. Corpo cheio. Muito, muito rico e quase sólido no paladar no momento. Profundidade e dimensão reais aqui. Potencialmente excelente.;tinto;https://fibo.promokit.com.br/images/empresa/1939cac0-0409-11f0-8da3-7711d52769d2.png
VINHO TT VOSNE ROMANÉE 1º ER EMMANUEL ROUGET;37000;34500;Nossos especialistas em vinhos acham que este vinho Burgundy Côte de Nuits tinto harmonizaria maravilhosamente com estes pratos. Bon appétit!;tinto;https://fibo.promokit.com.br/images/empresa/acf8b590-040a-11f0-a6b9-1f9459ba6b11.png
VINHO TT VOSNE ROMANÉE 1º ER D MEO CAMUZET;37000;34500;Há muita finesse e elegância neste vinho, muito típico da denominação Vosne-Romanée. Plenitude e charme coexistem aqui em um vinho que não é tão inspirador quanto os soberbos 'crus', 'les Brûlées' e 'Cros Parantoux', mas que é fácil de beber e irá seduzi-lo rapidamente.;tinto;https://fibo.promokit.com.br/images/empresa/698153c0-040b-11f0-83ac-d568cf879a19.png
VINHO TT RICHEBOURG GRAND CRU HUDELOT NOELLAT;17000;14950;Domaine Hudelot-Noellat é um produtor icônico na Côte de Nuits. O estilo do Domaine é definido pela elegância e pureza. O vinhedo de Romanée-Saint-Vivant é plantado com as vinhas mais antigas do Domaine que datam de 1920. Este vinhedo tende a produzir vinhos mais encorpados e ricos do que o Romanée St-Vivant, mas isso não aparece na cor. O buquê, no entanto, é outra questão: magicamente perfumado, uma majestade imperial que preenche cada parte da boca, luxuoso, mas nunca vulgar, inundando a estrutura presente e inteiramente necessária, apenas um ponto de bitters juvenis ao lado da acidez no fundo;tinto;https://fibo.promokit.com.br/images/empresa/1c553430-040c-11f0-94f6-030fbec674b3.png
VINHO BCO LA CROISADE CHARDONNAY;69.9;49.9;Descubra o Vinho Branco Francês La Croisade Chardonnay, uma expressão autêntica da viticultura francesa. Com uma graduação alcoólica de 12,5%, este vinho é ideal para acompanhar momentos especiais ou para desfrutar em uma refeição casual. Produzido na renomada região da França, o La Croisade Chardonnay apresenta notas frutadas e uma acidez equilibrada, tornando-o refrescante e agradável ao paladar. Sua embalagem em garrafa de 750ml é perfeita para compartilhar com amigos ou para uma ocasião íntima. Este vinho é uma escolha versátil, combinando bem com pratos de frutos do mar, saladas e queijos leves. Aprecie a sofisticação e a elegância que o La Croisade traz a cada taça, elevando sua experiência de degustação.;branco;https://fibo.promokit.com.br/images/empresa/3f32a2e0-b428-11f0-ae74-935b5da51e43.png
VINHO ROSE CLAUDEVAL VENDANGES;89.9;44.9;O Claude Val Rosé é um vinho rosé francês de excelente custo-benefício, elaborado pelo renomado enólogo Jean-Claude Mas, uma referência da vinicultura na região do Languedoc, no sul da França. Reconhecido por sua qualidade e frescor, é uma opção perfeita para quem busca um vinho rosé francês leve, elegante e versátil. Produzido a partir de um corte das uvas Cinsault, Grenache e Syrah, o Claude Val Rosé não passa por barrica, preservando a pureza aromática e o frescor natural. Sua coloração rosa pálido e brilhante é característica dos vinhos rosés franceses, enquanto o aroma revela notas vibrantes de morango, framboesa e cereja, com delicados toques florais e um leve frescor cítrico. Em boca, é leve, refrescante, com acidez equilibrada e final limpo, ideal para quem aprecia vinhos fáceis de beber, mas cheios de personalidade. Graças ao seu perfil equilibrado, o Claude Val Rosé harmoniza perfeitamente com dias quentes, petiscos, frutos do mar, saladas e pratos leves, tornando-se um vinho versátil para o dia a dia ou para ocasiões especiais. Se você quer saber onde comprar Claude Val Rosé ou conferir o preço do Claude Val Rosé, ele está disponível em nosso e-commerce de vinhos, com entrega rápida e segura para todo o Brasil. Aproveite para levar para sua adega um vinho rosé francês de alta qualidade e custo-benefício, diretamente do Languedoc.;rose;https://fibo.promokit.com.br/images/empresa/ffb922a0-b428-11f0-96ed-1776dc6d916e.png
VINHO CONVENTO OREJA ROBLE;105.9;99.9;Convento Oreja conta com 30 hectares de vinhedos de 35 anos de idade média. Se baseia na elaboração de apenas partidas limitadas com as enormes possibilidades da Tinta del Pais (Tempranillo), que oferece vinhos ricos em corpo e cor, tintos guardiões de aromas únicos, tostados, maduros, substanciosos, com o sabor da fruta temperada e surpreendentes taninos. Este Roble mostra-se no nariz intenso e fresco, com notas de frutas vermelhas como morango, groselha e framboesa, perfeitamente combinadas com madeira, toques de balsâmico, picantes e com aromas florais, é sutil e elegante. Na boca, saboroso e frutado. Saboroso e fácil de beber. Muito bem armado, com resultado equilibrado e agradável.;tinto;https://fibo.promokit.com.br/images/empresa/b9ebadc0-b427-11f0-a1e3-d703d971078e.png
Alión Ribera del Duero D.O 2017;1550;1165.98;Alión vem de uma seleção cuidadosa de terroirs das melhores áreas de Ribera del Duero D.O - Verdadeiro clássico da Espanha, colecionador de prêmios e altas notas da crítica especializada. Um tinto rico, intenso e moderno, elaborado com a uva Tempranillo.;tinto;https://fibo.promokit.com.br/images/empresa/715fef30-00c3-11ef-81e4-5fd447fbbfab.png
VINHO TT MACAN;1156.9;1069.9;Macan 2015 - Vega Sicilia Vinho Espanhol Macán é uma visão moderna e pessoal do vinhedo de alto perfil e máxima qualidade do Rioja DOC. Promete requinte, elegância, complexidade e força. Macán é o carro-chefe da vinícola, um projeto iniciado pela Tempos Vega Sicilia e pela Compagnie Vinicole Baron Edmond de Rothschild em 2004. 2009 foi a primeira colheita lançada e este Macán 2015 representa o árduo trabalho realizado nestes anos. O conhecimento, o esforço, a paciência e a vontade de melhorar contribuem para o sucesso do projeto que assenta atualmente num património vitivinícola de 92 hectares de vinha de elevada qualidade e modernas instalações vitivinícolas que fundem tecnologia, tradição e inovação.;tinto;https://fibo.promokit.com.br/images/empresa/e43b99c0-00d5-11ef-834b-59a9331eba47.png
PETIT VEGA 28 MESES 750ML;289.9;239.9;Corpo: Encorpado Amadurecimento: 28 meses em barrica de carvalho francês e mais 18 meses em garrafa. Teor Alcoólico (%): 14 Tipo do Vinho: Tinto Região:Ribera del Duero Volume: 750 ml Sub-tipo: Tinto Teor de Açúcar: Seco Temperatura de Serviço (°C): 16 – 18 Uva:100% Tempranillo;tinto;https://fibo.promokit.com.br/images/empresa/e7120820-dc7f-11ee-8a57-493340403a18.png
VEGA SICILLIA UNICO 2010;7890.99;6448.9;Descubra a grandiosidade do Valbuena 5º Año, um ícone espanhol da renomada Vega Sicilia. Com cor granada e carvalho delicado, revela frutas maduras, especiarias e final crocante. Um tesouro pontuado por especialistas, envelhecendo com magnificência. Experimente a excelência do Valbuena 5º Año!;tinto;https://fibo.promokit.com.br/images/empresa/5162c720-3282-11ef-974a-698dae7102d3.png
VINHO TT PETIT VEGA 18 Meses 750 ml;149.9;114.9;Corpo: Encorpado Amadurecimento: 18 meses Teor Alcoólico (%): 14 Tipo do Vinho: Tinto Região: Ribera Del Duero Volume: 750 ml Sub-tipo: Tinto Teor de Açúcar: Seco Temperatura de Serviço (°C): 16 Uva: 100% Tempranillo;tinto;https://fibo.promokit.com.br/images/empresa/abde47e0-dc80-11ee-b6bf-95b889d0a534.png
VINHO TINTO KNOCK KNOK RED BLEND;49.9;24.9;Vinho tinto de Valencia, Espanha. Das uvas Shiraz/Syrah e Tempranillo. Este vinho tem 95 menções sobre notas fruta vermelha (cereja, morango e framboesa).;tinto;https://fibo.promokit.com.br/images/empresa/363e85e0-026e-11ef-ae3e-8de98e554c2c.png
VINHO TT CASTILLO YGAY RIOJA;2499.9;2364.9;Ícone da vinícola Marqués de Murrieta, Ygay Gran Reserva Especial, é um rótulo de destaque em Rioja, revelando grande estrutura e elegância, típicos dos vinhos desta região. Estagiando durante 28 meses em barricas de carvalho, este longevo tinto de Rioja apresenta notas vermelhas, notas herbáceas, terrosas e toques de couro Harmonize com Carnes vermelhas assadas, carnes suínas, cordeiro, embutidos, como jamón ibérico e queijos duros;tinto;https://fibo.promokit.com.br/images/empresa/0f9f9730-e099-11ef-984d-2ffd41fa986f.png
VINHO TT LOCO BARBER;39.9;24.9;Notas do Sommelier O vinho tinto espanhol Loco Barber Garnacha Tinta é um vinho produzido na região de Navarra, na Espanha. A uva principal utilizada na produção desse vinho é a Garnacha Tinta, também conhecida como Grenache em outros países. A Garnacha Tinta é uma variedade de uva tinta muito comum na Espanha e em algumas outras regiões vinícolas ao redor do mundo. Ela produz vinhos tintos com sabores ricos e intensos, muitas vezes com notas de frutas vermelhas, especiarias e toques florais. O Loco Barber Garnacha Tinta é conhecido por ser um vinho de médio a encorpado, com boa concentração de frutas e taninos macios. É uma excelente escolha para acompanhar pratos de carne vermelha, cordeiro, queijos e embutidos.;tinto;https://fibo.promokit.com.br/images/empresa/5c0ae580-e30e-11ef-bb18-c980891516a1.png
ESPUMANTE GRAN LEGADO;49.9;29.9;O Espumante Gran Legado é um vinho brasileiro produzido na região do Vale dos Vinhedos, no Rio Grande do Sul. Ele é feito com as uvas Chardonnay, Riesling Itálico, Viogner e Glera1. O espumante tem aromas de frutas brancas e cítricas frescas, com nota floral213. Em boca, ele é elegante, frutado, leve, com boa acidez e delicada cremosidade2. O espumante é do tipo Brut Branco Charmat, com teor alcoólico de 12%1. Ele harmoniza bem com aperitivos, queijos, carnes brancas, peixes, frutos do mar e sobremesas1.;branco;https://fibo.promokit.com.br/images/empresa/af640960-e312-11ef-984d-2ffd41fa986f.png
ESPUMANTE GRAN LEGADO ROSE;49.9;29.9;O Espumante Gran Legado Rose é um vinho espumante com coloração rosa claro e reflexos laranjados. No paladar, é intenso, com aromas de frutas vermelhas, compotas e confeitaria. É um espumante de perfil refinado, com grande versatilidade na gastronomia;rose;https://fibo.promokit.com.br/images/empresa/347dd400-e313-11ef-a330-5f11f34c0a5a.png
VINHO TT CLIO;689.9;479.9;Vermelho cereja fortemente coberto com borda granada. Nariz intenso de frutos maduros, amora, mirtilos e fruta cristalizada, com notas de café torrado, cacau e alcaçuz que lhe conferem delicadeza e elegância. Fase de degustação: Saboroso e poderoso, tem uma grande estrutura, com taninos muito concentrados e doces, uma infinidade de sensações agradáveis e um final longo, elegante e doce. Potência, carnosidade, sabor e opulência combinam-se no paladar... Pelas suas características organolépticas, é um vinho que pode acompanhar uma grande variedade de pratos, arroz, todo o tipo de carnes, assados, carnes de caça grandes e pequenas, aves, guisados...;tinto;https://fibo.promokit.com.br/images/empresa/9bcdce40-f389-11ef-828d-19542d7d3c89.png
VINHO TINTO CARNIVOR ZINFANDEL;99.9;79.9;VINHO CARNIVOR ZINFANDEL 750 ML O Vinho Carnivor Zinfandel apresenta coloração rubi. Mostra aromas de frutas negras maduras, cacau, amadeirado. Em boca possui médio corpo, frutado, acidez agradável, amadeirado, taninos macios, traço de doçura, final agradável. Harmonização: Carne na chapa, massa à matriciana, risoto de queijo, hambúrguer com fritas, batata recheada, pizzas variadas.;tinto;https://fibo.promokit.com.br/images/empresa/83dd7d10-2820-11ef-af1a-5556b0d37709.png
VINHO TINTO MENAGE A TROIS DARK RED BLEND;109.9;99.9;Para este Ménage à Trois, eles decidiram que 'mais é mais', e elaboraram uma mistura de não três, mas quatro uvas. Para completar os sabores do vinho o mesmo foi amadurecido em carvalho francês e americano. cor granada, brilhante e com intensa formação de lágrimas finas e rápidas. No nariz aromas intensos e complexos, com notas de ameixa, canela, noz moscada e cravo, seguidos de notas de coco, baunilha, fumaça e tabaco. Em boca encorpado com taninos maduros, redondos e aveludados acompanhado de alta acidez. Notas olfativas e final de boca longo e com as especiarias e as notas defumadas aparecendo no retrogosto.;tinto;https://fibo.promokit.com.br/images/empresa/8f144790-032c-11ef-b03a-e72574b32427.png
VINHO MENAGE A TROIS CABERNET SAUVIGNON;104.9;99.9;Fruto da paixão de um casal de arquitetos, a história da vinícola é marcada pela relação do casal com o vinho, que foram à Califórnia em busca de vinhos de alta qualidade, balanceados e saborosos.;tinto;https://fibo.promokit.com.br/images/empresa/6d0843f0-032b-11ef-8dd7-a5d688447146.png
VINHO TINTO COPPOLA DIMOND COLLECTION CABERNET SAUVIGNON;309.9;229.9;Encorpado e intenso, com sabores de morango, groselha, ervas secas, baunilha e chocolate. Possui taninos macios e um final persistente.;tinto;https://fibo.promokit.com.br/images/empresa/1a3fd470-2820-11ef-b751-7fc7c2856efb.png
VINHO TINTO COPPOLA DIMOND COLLECTION MERLOT;309.9;229.9;Tinto rico e concentrado. O equilíbrio perfeito entre a exuberância das frutas e as delicadas notas tostadas, com seus taninos sutis. País: Estados Unidos Região: Califórnia Marca: Coppola Uva: Merlot Teor alcoólico: 13,5% Volume: 750ml Tipo de Embalagem: Garrafa Classificação: Meio Seco Tipo: Tinto Harmonização: Ideal para acompanhar pratos de carne vermelha, massas, risotos e queijos. Gustativo: No paladar, taninos estruturados, agradáveis, final persistente e suave. Olfativo: Aroma de frutas como ameixa, groselha, mirtilo, especiarias cacau e canela. Visual: Apresenta cor vermelha granada.;tinto;https://fibo.promokit.com.br/images/empresa/60f08150-327d-11ef-bd1e-53211d16cab8.png
VINHO TINTO COPPOLA DIMOND COLLECTION ZINFANDEL;309.9;179.9;é um vinho tinto da Califórnia, Estados Unidos. Ele brilha em um vermelho brilhante e revela aromas exuberantes de amoras recém colhidas, framboesas e uma pitada de anis estrelado. No paladar, você encontrará ameixas suculentas, cerejas pretas e pimenta branca moída na hora. É um vinho picante, doce e ousado, com taninos macios, perfeito para acompanhar massas e carnes assadas123.;tinto;https://fibo.promokit.com.br/images/empresa/03af1a50-327e-11ef-ad2b-a3fbbc5aa31c.png
VINHO TT APOTHIC CABERNET SAUVIGNON;109.9;84.9;Produzido no terroir californiano, esse tinto mescla as variedades Zinfandel, Syrah, Cabernet Sauvignon e Merlot. Apothic é um vinho inspirado nas antigas Apothecas (adegas subterrâneas), um lugar misterioso onde há mais de 800 anos os viticultores misturavam e armazenavam seus cobiçados vinhos.;tinto;https://fibo.promokit.com.br/images/empresa/4f0238f0-767d-11ef-8814-5905ac7c307f.png
MENAGE A TROIS GOLD;104.9;99.9;Fruto da paixão de um casal de arquitetos, a história da vinícola é marcada pela relação do casal com o vinho, que foram à Califórnia em busca de vinhos de alta qualidade, balanceados e saborosos.;tinto;https://fibo.promokit.com.br/images/empresa/64c07920-a44c-11ef-8042-49a26ecd534c.png
VINHO TT MASTER E SERVANT CABERNET;599.9;499.9;Composto por 95% Cabernet Sauvignon e 5% Merlot, este vinho reúne frutas de regiões distintas de cultivo de Cabernet no Vale de Napa - Calistoga, Oakville e Rutherford. Cada região confere ao lote final a sua característica.;tinto;https://fibo.promokit.com.br/images/empresa/f872ee00-058b-11f0-ac9b-ed03648411ec.png
VINHO TT VIN PENFOLDS GRANGE BIN 95 1982;12000;10350;Vinho Penfolds Grange Bin 95 Shiraz 750 ml. A autêntica e mais poderosa expressão da filosofia vitivinícola da Penfolds – blends de múltiplos vinhedos e distritos - o Grange é o vinho mais famoso da Austrália e está oficialmente listado como Ícone do Patrimônio de South Australia. Produzido com Shiraz plenamente maduras, concentradas e com sabores/aromas intensos, o resultado é um vinho de claro estilo australiano, hoje reconhecido como um dos melhores vinhos do mundo. Com safras ininterruptas, desde a experimental 1951, o Grange demonstra a perfeita sinergia entre a Shiraz e os solos e climas de South Australia. As uvas do 2014 vêm de Barossa Valley, McLaren Vale, Wrattonbully, Coonawarra, Clare Valley e Magill Estate.;tinto;https://fibo.promokit.com.br/images/empresa/a608ab30-040c-11f0-ad55-37e82d8535de.png
VINHO TT MATAOJO TANNAT RESERVA;139.9;89.9;Aromaticamente, é complexo e intenso, tendo como principais descritores geleia e mirtilio, cereja, licor de ameixa e notas de pimenta vermelha, sobre um fundo balsâmico. Por via retro nasal, ressaltam o chocolate e as notas resinosas, confirmando o seu envelhecimento em barricas de carvalho francês, americano e húngaro. Há também, notas características de variedade, como hortelã e eucalipto.;tinto;https://fibo.promokit.com.br/images/empresa/e56d5540-2839-11f0-8815-95a661a2977e.png
VINHO BCO MATAOJO ALBARINO;119.9;89.9;O Albariño encontrou novo terreno entre as montanhas de Lavalleja onde se manifesta em todo o seu potencial, apesar de estar muito além do Noroeste da Galícia e do Norte de Portugal, onde é universal. Nosso Albariño tem uma ligeira cor amarela com tons verdes e alta intesidade aromática. Pode ser descrito como um vinho frutado e floral, tendo como principais descritores a rosa, o jasmim e a acácia. Num intervalo mais amplo, no entretando, seu frutado revela também a pêra, a toranja, algumas tangerinas e as goiabas. Também revela um fundo selvagem, lembrando a camomila e a carqueja. Na boca, desdobra-se voluptuoso e, ao mesmo tempo nervoso, dada a sua acidez justa, que, juntamente com o toque salgado, traz um final surpreendente e uma grande presistência.;tinto;https://fibo.promokit.com.br/images/empresa/6b0f89c0-283a-11f0-8642-f577ed47adf5.png
ESPUMANTE HENKELL TROCKEN DEMI SEC;69.9;44.9;Fundada em 1832, na Alemanha, a Henkell é uma empresa com mais de 190 anos de história e é considerado o espumante alemão mais exportado do mundo, estando presente em mais de 100 países, apresentando o autêntico estilo Sekt para o mundo.;espumante;https://fibo.promokit.com.br/images/empresa/3fe53760-8045-11ef-b836-41867d732ebd.png
VINHO TT HERMON GALILEE RED WINE;89.9;79.9;O Mount Hermon Red exibe atraentes caracteres de cereja e frutos silvestres, juntamente com notas complexas de ervas, especiarias, violetas e terra. Esta mistura saborosa proporciona grande prazer todos os dias. O Mount Hermon Red é uma mistura das clássicas variedades de Bordeaux de Cabernet Sauvignon, Merlot, Cabernet Franc, Petit Verdot e Malbec. As uvas do vinho foram colhidas em vinhas localizadas nas colinas de Golan. O vinho foi submetido a fermentação maloláctica e foi engarrafado sem filtração estéril.;tinto;https://fibo.promokit.com.br/images/empresa/53bdd110-29ba-11f0-aa73-dbb533be47c2.png
ESPUMANTE CHANDON BRUT;89.9;79.9;Caracteriza-se por sua delicada cor amarela com reflexos dourados, sua espuma abundante e persistente com formação de um colarinho no contorno da taça, perlage de borbulhas finas, ativas e numerosas. O aroma apresenta características florais (flores brancas) e frutadas (cítricos, maçã e um toque de abacaxi) com uma nuance de pão fresco. O paladar começa por um ataque franco de uma acidez equilibrada, continua com uma nítida sensação de redondeza e frescor, finaliza com notas de frutas secas e cítricas com uma persistência média. É apropriado como aperitivo e para acompanhar toda a refeição.;espumante;https://fibo.promokit.com.br/images/empresa/33ef4680-fd0f-11ee-8801-7327654d4154.png
ESPUMANTE UNDURRAGA BRUT;49.9;29.9;Elaborado pelo método Charmat, este espumante leva 60% Chardonnay e 40% Pinot Noir. As uvas são provenientes do Valle Central, têm controle de temperatura durante a fermentação e ficam em contato com as leveduras durante 60 dias, que confere ao espumante um discreto aroma de brioche. Sua cor é palha e apresenta fina e persistente perlage. Os aromas de frutas de polpa branca (pêra e maçã) estão em maior evidência e se completam por perfumes florais. Na boca tem alta acidez, bom equilíbrio e conserva os sabores frutados com um final seco, dando um acabamento perfeito. Espumante chileno com aromas de frutas cítricas e brancas frescas, com nota floral e traço mineral. Em boca se mostra elegante, frutado, leve, com boa acidez, delicada cremosidade e bom final. Devido ao seu estilo versátil, este espumante é ideal para festas que possuem diversos tipos de pratos, harmonizando desde a entrada até o prato principal. Além disso, o formato diferenciado da garrafa deixa o serviço ainda mais elegante.;espumante;https://fibo.promokit.com.br/images/empresa/9a90ced0-3636-11ef-9d4c-3983b5369387.png
FREIXENET CARTA NEVADA;99.9;64.9;Cava elaborado pelo método tradicional, com as castas Macabeo, Xarello e Parellada, possui coloração amarelo palha com reflexos dourados, borbulhas médias formam uma bela coroa. Aromas são florais e de fruta fresca, com sutis aromas cítricos, paladar estruturado, fresco, com suave acidez e tons florais. Envelhecido 12 meses em barricas de carvalho.;tinto;https://fibo.promokit.com.br/images/empresa/bdb24380-f5e0-11ee-8b93-fb9b9d850d69.png
